postName,organization,advertisementNo,category,listingSection,state,totalPosts,applicationStartDate,lastDate,admitCardDate,examDate,resultDate,ageMin,ageMax,eligibility,selectionProcess,officialApplyLink,notificationPdfUrl,syllabusLink,feeGENERAL,feeOBC,feeEWS,feeSC_ST,feePWBD,relaxOBC,relaxSC_ST,relaxPWBD
CSIR IICT Junior Secretariat Assistant Online Form 2025,CSIR-Central Road Research Institute (CRRI),02/2025,CENTRAL_GOVT,AUTO,,15,,,,,,18,28,,,https://iict.res.in/CAREERS,,,500,500,500,,,,,
IOCL Apprentice Online Form 2025,Indian Oil Corporation of India (IOCL),,PSU,AUTO,,838,,,,,,18,24,,,https://nats.education.gov.in/student_register.php,,,,,,,,,,
Indian Air Force Airmen Group-Y Online Form 2025,Join Indian Airforce,,DEFENCE,AUTO,,2025,,,,,,,,,,https://airmenselection.cdac.in/CASB/,https://airmenselection.cdac.in/CASB/img/notice/Adv_Medical_Asst_Rally_02_25.pdf,,,,,,,,,
Railway RRC NER Gorakhpur Apprentice Online Form 2025,Railway Recruitment Cell (RRC-NER Gorakhpur),,RAILWAY,AUTO,,1104,,,,,,15,24,,,https://ner.indianrailways.gov.in/,,,100,100,,,,,,
MPESB Group 4 Online Form 2025,Madhya Pradesh Employees Selection Board (MPESB),,STATE_GOVT,AUTO,Madhya Pradesh,861,,,,,,18,40,,,https://esb.mp.gov.in/e_default.html,,,500,250,250,250,250,,,
Bombay High Court Clerk Online Form 2025,Bombay High Court (BHC),,CENTRAL_GOVT,AUTO,,129,,,,,,18,38,,,https://bombayhighcourt.nic.in/,,,100,100,100,100,100,,,
BHEL Engineer Trainee and Supervisor Trainee Online Form 2025,Bharat Heavy Electricals Limited (BHEL),,PSU,AUTO,,400,,,,,,18,27,,,https://careers.bhel.in/index.jsp,,,795,795,795,295,295,,,
Mazagon Dock MDL Graduate/ Diploma Apprentice Online Form 2025,"Mazagon Dock Limited (MDL) , Mumbai",,PSU,AUTO,,200,,,,,,18,27,,,https://mazagondock.in,https://mazagondock.in/app/writereaddata/career/MDL_ATS_BOAT_Batch_2024_25_Rules_Regulations_AdvtNo_-_MDLATS-02-2024_15012025_115202534553PM.pdf,,,,,,,10,3,
KSSSCI Non-Teaching Online Form 2025,Kalyan Singh Super Specialty Cancer Institute (KSSSCI),,TEACHING,AUTO,,57,,,,,,,,,,https://cancerinstitute.edu.in/index.php,,,1180,1180,1180,708,,,,
Indian Army SSC Tech Online Form 2025 &#8211; Start,Join Indian Army,,SSC,AUTO,,381,,,,,,20,27,,,https://joinindianarmy.nic.in/default.aspx,https://cbcindia.gov.in/cbc/public/uploads/client-request/English-10601-11-0013-2425-676d4d392cb52-1735216441-creatives.pdf,,,,,,,,,
DEPUTY SECRETARY (I.T.) IN UPPSC,Uttar Pradesh Public Service Commission,,STATE_PSC,AUTO,Uttar Pradesh,,2026-09-21,2026-10-21,,,,,,,,https://uppsc.up.nic.in/OuterPages/UserHelp.aspx?ID=558,,,,,,,,,,
